,id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
777,1216542,2020,,08-10-2020,League,JM Bairstow,Dubai International Cricket Stadium,SRH,KXIP,Sunrisers Hyderabad,bat,SRH,runs,69,202,20,N,,AK Chaudhary,Nitin Menon
778,1216500,2020,,09-10-2020,League,R Ashwin,Sharjah Cricket Stadium,DC,RR,Rajasthan Royals,field,DC,runs,46,185,20,N,,KN Ananthapadmanabhan,C Shamshuddin
779,1216523,2020,Abu Dhabi,10-10-2020,League,KD Karthik,Sheikh Zayed Stadium,KKR,KXIP,Kolkata Knight Riders,bat,KKR,runs,2,165,20,N,,UV Gandhe,CB Gaffaney
780,1216525,2020,,10-10-2020,League,V Kohli,Dubai International Cricket Stadium,RCB,CSK,Royal Challengers Bangalore,bat,RCB,runs,37,170,20,N,,AK Chaudhary,PR Reiffel
781,1216507,2020,,11-10-2020,League,R Tewatia,Dubai International Cricket Stadium,SRH,RR,Sunrisers Hyderabad,bat,RR,wickets,5,159,20,N,,YC Barde,PR Reiffel
782,1216529,2020,Abu Dhabi,11-10-2020,League,Q de Kock,Sheikh Zayed Stadium,DC,MI,Delhi Capitals,bat,MI,wickets,5,163,20,N,,CB Gaffaney,S Ravi
783,1216540,2020,,12-10-2020,League,AB de Villiers,Sharjah Cricket Stadium,RCB,KKR,Royal Challengers Bangalore,bat,RCB,runs,82,195,20,N,,RK Illingworth,K Srinivasan
784,1216528,2020,,13-10-2020,League,RA Jadeja,Dubai International Cricket Stadium,CSK,SRH,Chennai Super Kings,bat,CSK,runs,20,168,20,N,,AK Chaudhary,PR Reiffel
785,1216543,2020,,14-10-2020,League,A Nortje,Dubai International Cricket Stadium,DC,RR,Delhi Capitals,bat,DC,runs,13,162,20,N,,AK Chaudhary,Nitin Menon
786,1216531,2020,,15-10-2020,League,KL Rahul,Sharjah Cricket Stadium,RCB,KXIP,Royal Challengers Bangalore,bat,KXIP,wickets,8,172,20,N,,KN Ananthapadmanabhan,C Shamshuddin
787,1216526,2020,Abu Dhabi,16-10-2020,League,Q de Kock,Sheikh Zayed Stadium,KKR,MI,Kolkata Knight Riders,bat,MI,wickets,8,149,20,N,,CB Gaffaney,VK Sharma
788,1216509,2020,,17-10-2020,League,S Dhawan,Sharjah Cricket Stadium,CSK,DC,Chennai Super Kings,bat,DC,wickets,5,180,20,N,,KN Ananthapadmanabhan,RK Illingworth
789,1216522,2020,,17-10-2020,League,AB de Villiers,Dubai International Cricket Stadium,RR,RCB,Rajasthan Royals,bat,RCB,wickets,7,178,20,N,,AK Chaudhary,Nitin Menon
